# Year 2021
# Release 2021a 
# utcOffsetDirection	utcOffsetHours	utcOffsetMinutes	fromDate	thruDate	colloquialAbbreviation	ruleName	zoneName
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Berlin
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Gibraltar
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Gibraltar
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Gibraltar
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Budapest
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Budapest
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Budapest
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Rome
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Rome
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Rome
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Luxembourg
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Luxembourg
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Luxembourg
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Malta
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Malta
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Malta
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Monaco
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Monaco
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Monaco
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Amsterdam
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Amsterdam
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Amsterdam
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Oslo
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Oslo
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Oslo
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Warsaw
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Warsaw
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Warsaw
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Belgrade
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Belgrade
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Belgrade
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Madrid
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Madrid
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Madrid
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Africa/Ceuta
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Africa/Ceuta
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Africa/Ceuta
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Stockholm
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Stockholm
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Stockholm
+	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	CET	EU	Europe/Zurich
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	CEST	EU	Europe/Zurich
+	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	CET	EU	Europe/Zurich
+	0	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	+00	Troll	Antarctica/Troll
+	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	+02	Troll	Antarctica/Troll
+	0	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	+00	Troll	Antarctica/Troll
+	0	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	GMT/BST	EU	Europe/London
+	1	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	GMT/BST	EU	Europe/London
+	0	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	GMT/BST	EU	Europe/London
+	0	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	WET	EU	WET
+	1	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	WEST	EU	WET
+	0	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	WET	EU	WET
+	0	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	WET	EU	Atlantic/Faroe
+	1	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	WEST	EU	Atlantic/Faroe
+	0	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	WET	EU	Atlantic/Faroe
+	0	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	WET	EU	Europe/Lisbon
+	1	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	WEST	EU	Europe/Lisbon
+	0	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	WET	EU	Europe/Lisbon
+	0	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	WET	EU	Atlantic/Madeira
+	1	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	WEST	EU	Atlantic/Madeira
+	0	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	WET	EU	Atlantic/Madeira
+	0	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	WET	EU	Atlantic/Canary
+	1	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	WEST	EU	Atlantic/Canary
+	0	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	WET	EU	Atlantic/Canary
-	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	-01/+00	EU	America/Scoresbysund
-	0	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	-01/+00	EU	America/Scoresbysund
-	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	-01/+00	EU	America/Scoresbysund
-	1	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	-01/+00	EU	Atlantic/Azores
-	0	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	-01/+00	EU	Atlantic/Azores
-	1	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	-01/+00	EU	Atlantic/Azores
-	3	0	2021-01-01T00:00:00.000Z	2021-03-28T00:59:59.000Z	-03/-02	EU	America/Nuuk
-	2	0	2021-03-28T01:00:00.000Z	2021-10-31T00:59:59.000Z	-03/-02	EU	America/Nuuk
-	3	0	2021-10-31T01:00:00.000Z	2021-12-31T23:59:59.000Z	-03/-02	EU	America/Nuuk
-	3	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	-03/-02	Canada	America/Miquelon
-	2	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	-03/-02	Canada	America/Miquelon
-	3	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	-03/-02	Canada	America/Miquelon
-	3	30	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	NST	Canada	America/St_Johns
-	2	30	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	NDT	Canada	America/St_Johns
-	3	30	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	NST	Canada	America/St_Johns
-	4	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AST	Thule	America/Thule
-	3	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	ADT	Thule	America/Thule
-	4	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AST	Thule	America/Thule
-	4	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AST	Canada	America/Goose_Bay
-	3	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	ADT	Canada	America/Goose_Bay
-	4	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AST	Canada	America/Goose_Bay
-	4	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AST	Canada	America/Halifax
-	3	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	ADT	Canada	America/Halifax
-	4	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AST	Canada	America/Halifax
-	4	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AST	Canada	America/Glace_Bay
-	3	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	ADT	Canada	America/Glace_Bay
-	4	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AST	Canada	America/Glace_Bay
-	4	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AST	Canada	America/Moncton
-	3	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	ADT	Canada	America/Moncton
-	4	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AST	Canada	America/Moncton
-	4	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	AST	US	Atlantic/Bermuda
-	3	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	ADT	US	Atlantic/Bermuda
-	4	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	AST	US	Atlantic/Bermuda
-	3	0	2021-01-01T00:00:00.000Z	2021-04-04T02:59:59.000Z	-04/-03	Chile	America/Santiago
-	4	0	2021-04-04T03:00:00.000Z	2021-09-05T03:59:59.000Z	-04/-03	Chile	America/Santiago
-	3	0	2021-09-05T04:00:00.000Z	2021-12-31T23:59:59.000Z	-04/-03	Chile	America/Santiago
-	3	0	2021-01-01T00:00:00.000Z	2021-03-27T23:59:59.000Z	-04/-03	Para	America/Asuncion
-	4	0	2021-03-28T00:00:00.000Z	2021-10-02T23:59:59.000Z	-04/-03	Para	America/Asuncion
-	3	0	2021-10-03T00:00:00.000Z	2021-12-31T23:59:59.000Z	-04/-03	Para	America/Asuncion
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	EST5EDT
-	4	0	2021-03-14T02:00:00.000Z	2021-11-07T01:59:59.000Z	EDT	US	EST5EDT
-	5	0	2021-11-07T02:00:00.000Z	2021-12-31T23:59:59.000Z	EST	US	EST5EDT
-	5	0	2021-01-01T00:00:00.000Z	2021-03-14T01:59:59.000Z	EST	US	America/New_York
